Most important legitimate n_grams
1. :// - freq: 3005
2. .co - freq: 2328
3. com - freq: 2314
4. //. - freq: 2059
5. om/ - freq: 2040
6. %80 - freq: 679
7. 80% - freq: 679
8. 0%8 - freq: 674
9. %8b - freq: 670
10. 2%8 - freq: 670
11. e2% - freq: 667
12. %e2 - freq: 667
13. d8% - freq: 639
14. %d8 - freq: 639
15. d9% - freq: 432
16. %d9 - freq: 432
17. 9%8 - freq: 429
18. ing - freq: 420
19. htm - freq: 408
20. 8%a - freq: 406
21. .ht - freq: 381
22. ion - freq: 366
23. tml - freq: 360
24. ent - freq: 341
25. new - freq: 323
26. 201 - freq: 308
27. e.c - freq: 306
28. s.c - freq: 293
29. 018 - freq: 289
30. ter - freq: 286
31. ews - freq: 272
32. tio - freq: 251
33. er- - freq: 245
34. the - freq: 243
35. ng- - freq: 239
36. 8%b - freq: 239
37. /tr - freq: 238
38. ate - freq: 230
39. and - freq: 226
40. art - freq: 223
41. -%d - freq: 220
42. pro - freq: 215
43. ome - freq: 212
44. /20 - freq: 211
45. es- - freq: 209
46. /ne - freq: 209
47. est - freq: 208
48. id= - freq: 208
49. res - freq: 207
50. edi - freq: 201
51. con - freq: 200
52. sta - freq: 197
53. %a7 - freq: 196
54. es/ - freq: 194
55. t.c - freq: 193
56. r.c - freq: 192
57. tic - freq: 191
58. ind - freq: 187
59. ver - freq: 184
60. 7%d - freq: 184
61. ers - freq: 180
62. /.s - freq: 179
63. /11 - freq: 179
64. tor - freq: 179
65. tr/ - freq: 179
66. er. - freq: 177
67. a7% - freq: 174
68. -co - freq: 174
69. ess - freq: 173
70. ort - freq: 172
71. utm - freq: 172
72. -de - freq: 171
73. tm_ - freq: 171
74. a.c - freq: 170
75. ine - freq: 167
76. -re - freq: 167
77. on- - freq: 166
78. ide - freq: 164
79. net - freq: 164
80. our - freq: 164
81. 11/ - freq: 163
82. 18/ - freq: 163
83. ws/ - freq: 162
84. nte - freq: 161
85. age - freq: 160
86. -in - freq: 156
87. m/t - freq: 155
88. for - freq: 154
89. men - freq: 154
90. nde - freq: 153
91. /in - freq: 153
92. hom - freq: 152
93. tra - freq: 152
94. ati - freq: 151
95. por - freq: 151
96. log - freq: 150
97. en- - freq: 148
98. -th - freq: 146
99. an- - freq: 145
100. in- - freq: 145
101. /pr - freq: 143
102. rti - freq: 142
103. -tr - freq: 140
104. o.c - freq: 139
105. sho - freq: 139
106. lin - freq: 138
107. ons - freq: 138
108. %b1 - freq: 137
109. int - freq: 137
110. /.c - freq: 137
111. om. - freq: 136
112. ele - freq: 135
113. ist - freq: 135
114. 8/1 - freq: 135
115. /.m - freq: 134
116. 000 - freq: 134
117. sto - freq: 133
118. /.a - freq: 132
119. les - freq: 131
120. -to - freq: 131
121. ban - freq: 130
122. -ma - freq: 129
123. .ne - freq: 129
124. %2f - freq: 128
125. all - freq: 127
126. he- - freq: 127
127. pre - freq: 126
128. /.t - freq: 126
129. -an - freq: 125
130. ame - freq: 124
131. m/a - freq: 124
132. /ar - freq: 124
133. tin - freq: 124
134. al- - freq: 123
135. ang - freq: 123
136. dia - freq: 123
137. rea - freq: 123
138. to- - freq: 122
139. ect - freq: 120
140. &ut - freq: 120
141. per - freq: 120
142. tur - freq: 120
143. /.b - freq: 119
144. te- - freq: 119
145. m/p - freq: 118
146. lan - freq: 118
147. ard - freq: 117
148. /.i - freq: 117
149. ran - freq: 116
150. ear - freq: 115
151. n.c - freq: 115
152. ite - freq: 114
153. iti - freq: 114
154. nd- - freq: 114
155. -pr - freq: 114
156. ank - freq: 113
157. blo - freq: 113
158. ign - freq: 113
159. /co - freq: 112
160. ive - freq: 111
161. m/s - freq: 111
162. nce - freq: 111
163. one - freq: 111
164. ost - freq: 111
165. -se - freq: 111
166. wor - freq: 111
167. b1% - freq: 109
168. d.c - freq: 109
169. co. - freq: 109
170. med - freq: 109
171. ont - freq: 109
172. -ca - freq: 108
173. rce - freq: 108
174. cle - freq: 107
175. der - freq: 107
176. duc - freq: 107
177. /en - freq: 107
178. y.c - freq: 107
179. le- - freq: 105
180. ies - freq: 104
181. re- - freq: 104
182. 8%d - freq: 104
183. ed- - freq: 103
184. org - freq: 103
185. //t - freq: 103
186. st- - freq: 103
187. sti - freq: 103
188. ail - freq: 102
189. eri - freq: 102
190. mer - freq: 102
191. pla - freq: 102
192. pos - freq: 102
193. mar - freq: 101
194. //s - freq: 101
195. l.c - freq: 100
196. -20 - freq: 100
197. /ho - freq: 100
198. /st - freq: 100
199. vie - freq: 100
200. ali - freq: 99
201. app - freq: 99
202. 1%d - freq: 99
203. /re - freq: 99
204. are - freq: 98
205. eal - freq: 98
206. es. - freq: 98
207. et/ - freq: 98
208. ire - freq: 98
209. nal - freq: 98
210. ser - freq: 98
211. e-s - freq: 97
212. -st - freq: 97
213. ure - freq: 97
214. ndi - freq: 96
215. red - freq: 96
216. ste - freq: 96
217. ten - freq: 96
218. ain - freq: 95
219. icl - freq: 95
220. .or - freq: 95
221. urc - freq: 95
222. e0% - freq: 94
223. %e0 - freq: 94
224. -ch - freq: 94
225. 0%a - freq: 94
226. sou - freq: 94
227. tes - freq: 94
228. de- - freq: 93
229. k.c - freq: 93
230. or- - freq: 93
231. spo - freq: 93
232. cat - freq: 92
233. cti - freq: 92
234. m/n - freq: 92
235. //a - freq: 92
236. rod - freq: 92
237. rom - freq: 92
238. uct - freq: 92
239. ara - freq: 91
240. ree - freq: 91
241. .go - freq: 91
242. ori - freq: 90
243. out - freq: 90
244. /.d - freq: 90
245. -of - freq: 90
246. cam - freq: 89
247. han - freq: 89
248. oto - freq: 89
249. rg/ - freq: 89
250. tal - freq: 89
251. arc - freq: 88
252. des - freq: 88
253. mes - freq: 88
254. odu - freq: 88
255. ts/ - freq: 88
256. ack - freq: 87
257. che - freq: 87
258. ile - freq: 87
259. ona - freq: 87
260. str - freq: 87
261. /th - freq: 87
262. ale - freq: 86
263. ble - freq: 86
264. her - freq: 86
265. m/e - freq: 86
266. nes - freq: 86
267. ove - freq: 86
268. s-a - freq: 86
269. /.e - freq: 86
270. /de - freq: 86
271. /ma - freq: 86
272. a6% - freq: 85
273. anc - freq: 85
274. ant - freq: 85
275. bil - freq: 85
276. g.c - freq: 85
277. %a6 - freq: 85
278. m/c - freq: 85
279. rch - freq: 85
280. .jp - freq: 85
281. .ru - freq: 85
282. und - freq: 85
283. vid - freq: 85
284. er/ - freq: 83
285. ice - freq: 83
286. /.n - freq: 83
287. /.w - freq: 83
288. -me - freq: 83
289. -pa - freq: 83
290. ref - freq: 83
291. ru/ - freq: 83
292. sin - freq: 83
293. ia- - freq: 82
294. jp/ - freq: 82
295. ore - freq: 82
296. rec - freq: 82
297. tar - freq: 82
298. ber - freq: 81
299. car - freq: 81
300. ce= - freq: 81
301. is- - freq: 81
302. m/i - freq: 81
303. pag - freq: 81
304. pho - freq: 81
305. -ba - freq: 81
306. /.g - freq: 81
307. /vi - freq: 81
308. ts- - freq: 81
309. act - freq: 80
310. amp - freq: 80
311. e-c - freq: 80
312. e-t - freq: 80
313. ead - freq: 80
314. iew - freq: 80
315. ill - freq: 80
316. lit - freq: 80
317. man - freq: 80
318. ml? - freq: 80
319. ng/ - freq: 80
320. par - freq: 80
321. /.f - freq: 80
322. 4%d - freq: 80
323. a%d - freq: 79
324. cha - freq: 79
325. hot - freq: 79
326. ial - freq: 79
327. ity - freq: 79
328. ope - freq: 79
329. r-t - freq: 79
330. /.h - freq: 79
331. -mo - freq: 79
332. ws. - freq: 79
333. mpa - freq: 78
334. rie - freq: 78
335. sea - freq: 78
336. /ca - freq: 78
337. son - freq: 78
338. /se - freq: 78
339. te. - freq: 78
340. d%e - freq: 77
341. ica - freq: 77
342. -fo - freq: 77
343. -ho - freq: 77
344. -wi - freq: 77
345. .in - freq: 77
346. _so - freq: 76
347. as- - freq: 76
348. ast - freq: 76
349. eat - freq: 76
350. eme - freq: 76
351. ert - freq: 76
352. le. - freq: 76
353. s-s - freq: 76
354. /.l - freq: 76
355. gam - freq: 75
356. ita - freq: 75
357. kin - freq: 75
358. /.p - freq: 75
359. rs- - freq: 75
360. ult - freq: 75
361. ari - freq: 74
362. %84 - freq: 74
363. %86 - freq: 74
364. har - freq: 74
365. ina - freq: 74
366. le/ - freq: 74
367. ne- - freq: 74
368. ng. - freq: 74
369. ric - freq: 74
370. ar- - freq: 73
371. end - freq: 73
372. gra - freq: 73
373. how - freq: 73
374. -sh - freq: 73
375. .de - freq: 73
376. 18- - freq: 73
377. tan - freq: 73
378. al/ - freq: 72
379. cou - freq: 72
380. ns- - freq: 72
381. nt- - freq: 72
382. ade - freq: 71
383. dex - freq: 71
384. %20 - freq: 71
